1. Samochd: Acura CL, sprzedano: 1 szt., gdzie średnia cena to: 82961.35 Euro.
2. Samochd: Acura Integra, sprzedano: 1 szt., gdzie średnia cena to: 24435.25 Euro.
3. Samochd: Acura NSX, sprzedano: 2 szt., gdzie średnia cena to: 61847.47 Euro.
4. Samochd: Acura RDX, sprzedano: 1 szt., gdzie średnia cena to: 64467.57 Euro.
5. Samochd: Acura RL, sprzedano: 2 szt., gdzie średnia cena to: 53598.89 Euro.
6. Samochd: Acura TL, sprzedano: 3 szt., gdzie średnia cena to: 58218.04 Euro.
7. Samochd: Acura ZDX, sprzedano: 1 szt., gdzie średnia cena to: 74967.68 Euro.
8. Samochd: Aptera Typ-1, sprzedano: 1 szt., gdzie średnia cena to: 24570.34 Euro.
9. Samochd: Aston Martin DB9, sprzedano: 2 szt., gdzie średnia cena to: 12360.74 Euro.
10. Samochd: Aston Martin DBS, sprzedano: 1 szt., gdzie średnia cena to: 72356.01 Euro.
11. Samochd: Audi 5000S, sprzedano: 1 szt., gdzie średnia cena to: 62830.11 Euro.
12. Samochd: Audi A3, sprzedano: 6 szt., gdzie średnia cena to: 30444.75 Euro.
13. Samochd: Audi A4, sprzedano: 2 szt., gdzie średnia cena to: 52819.73 Euro.
14. Samochd: Audi A6, sprzedano: 2 szt., gdzie średnia cena to: 12696.50 Euro.
15. Samochd: Audi A8, sprzedano: 4 szt., gdzie średnia cena to: 28415.30 Euro.
16. Samochd: Audi Coupe GT, sprzedano: 1 szt., gdzie średnia cena to: 19044.06 Euro.
17. Samochd: Audi Q7, sprzedano: 1 szt., gdzie średnia cena to: 4808.26 Euro.
18. Samochd: Audi Quattro, sprzedano: 1 szt., gdzie średnia cena to: 49492.18 Euro.
19. Samochd: Audi S4, sprzedano: 3 szt., gdzie średnia cena to: 74608.07 Euro.
20. Samochd: Audi S8, sprzedano: 1 szt., gdzie średnia cena to: 17758.68 Euro.
21. Samochd: Audi TT, sprzedano: 1 szt., gdzie średnia cena to: 66745.47 Euro.
22. Samochd: Audi V8, sprzedano: 1 szt., gdzie średnia cena to: 94151.66 Euro.
23. Samochd: Austin Mini Cooper, sprzedano: 1 szt., gdzie średnia cena to: 11178.82 Euro.
24. Samochd: Austin Mini Cooper S, sprzedano: 1 szt., gdzie średnia cena to: 98795.19 Euro.
25. Samochd: BMW 1 Series, sprzedano: 1 szt., gdzie średnia cena to: 59998.39 Euro.
26. Samochd: BMW 3 Series, sprzedano: 2 szt., gdzie średnia cena to: 25209.61 Euro.
27. Samochd: BMW 330, sprzedano: 1 szt., gdzie średnia cena to: 3362.42 Euro.
28. Samochd: BMW 5 Series, sprzedano: 4 szt., gdzie średnia cena to: 30331.36 Euro.
29. Samochd: BMW 530, sprzedano: 2 szt., gdzie średnia cena to: 52027.50 Euro.
30. Samochd: BMW 545, sprzedano: 1 szt., gdzie średnia cena to: 62614.35 Euro.
31. Samochd: BMW 6 Series, sprzedano: 2 szt., gdzie średnia cena to: 68700.38 Euro.
32. Samochd: BMW 600, sprzedano: 1 szt., gdzie średnia cena to: 72427.80 Euro.
33. Samochd: BMW 7 Series, sprzedano: 3 szt., gdzie średnia cena to: 56916.01 Euro.
34. Samochd: BMW 760, sprzedano: 2 szt., gdzie średnia cena to: 64420.39 Euro.
35. Samochd: BMW 8 Series, sprzedano: 1 szt., gdzie średnia cena to: 36491.19 Euro.
36. Samochd: BMW Alpina B7, sprzedano: 2 szt., gdzie średnia cena to: 52180.50 Euro.
37. Samochd: BMW M, sprzedano: 1 szt., gdzie średnia cena to: 70022.09 Euro.
38. Samochd: BMW M3, sprzedano: 6 szt., gdzie średnia cena to: 42692.66 Euro.
39. Samochd: BMW M5, sprzedano: 2 szt., gdzie średnia cena to: 58268.78 Euro.
40. Samochd: BMW X5, sprzedano: 4 szt., gdzie średnia cena to: 39080.49 Euro.
41. Samochd: BMW X5 M, sprzedano: 1 szt., gdzie średnia cena to: 74527.00 Euro.
42. Samochd: BMW X6, sprzedano: 2 szt., gdzie średnia cena to: 70621.04 Euro.
43. Samochd: BMW Z4, sprzedano: 2 szt., gdzie średnia cena to: 60693.28 Euro.
44. Samochd: Bentley Azure, sprzedano: 1 szt., gdzie średnia cena to: 16032.57 Euro.
45. Samochd: Bentley Continental, sprzedano: 1 szt., gdzie średnia cena to: 57996.64 Euro.
46. Samochd: Bentley Continental Flying Spur, sprzedano: 1 szt., gdzie średnia cena to: 4558.80 Euro.
47. Samochd: Bentley Continental GTC, sprzedano: 1 szt., gdzie średnia cena to: 46403.57 Euro.
48. Samochd: Bentley Continental Super, sprzedano: 1 szt., gdzie średnia cena to: 95732.27 Euro.
49. Samochd: Bentley Mulsanne, sprzedano: 1 szt., gdzie średnia cena to: 44587.82 Euro.
